client_user_id,paid_at,Recency,Frequency,Monetary,category_Desain Grafis & Branding,category_Gaya Hidup,category_Konsultasi,category_Pemasaran & Periklanan,category_Penulisan & Penerjemahan,category_Unknown,"category_Video, Fotografi & Audio",category_Web & Pemrograman,Cluster
08*****88,2024-10-15 10:20:00,47,1,101191,0,0,0,0,1,0,0,0,2
09********24,2024-09-09 10:59:00,83,1,303384,1,0,0,0,0,0,0,0,1
14****63,2023-11-16 11:33:00,381,2,577618,1,0,0,0,0,1,0,0,3
1n********ti,2024-10-03 14:33:00,59,1,1516500,1,0,0,0,0,0,0,0,1
20****01,2024-09-05 15:52:00,87,2,204182,0,0,0,1,0,0,0,0,0
21**********90,2024-04-11 10:56:00,234,2,682082,0,0,0,1,0,0,0,0,0
21******38,2023-11-25 18:06:00,372,1,25951,1,0,0,0,0,0,0,0,1
21***01,2024-10-09 06:40:00,54,1,758287,1,0,0,0,0,0,0,0,1
23******94,2023-11-29 07:59:00,368,1,203030,1,0,0,0,0,0,0,0,1
25**********87,2024-10-09 13:22:00,53,3,404400,1,0,0,1,0,0,0,0,0
2D********aa,2024-06-22 06:22:00,163,2,203337,1,0,0,0,0,0,0,0,1
2d****..,2024-10-25 20:35:00,37,1,100073,0,0,0,0,0,0,1,0,2
30************ia,2024-10-21 20:29:00,41,1,151685,0,0,0,0,0,0,1,0,2
36******es,2023-10-11 13:41:00,417,1,2577295,1,0,0,0,0,0,0,0,1
6u******55,2024-01-31 22:09:00,305,1,354148,0,0,0,0,0,1,0,0,3
AB********EW,2024-09-10 15:00:00,82,4,1923867,0,0,0,1,0,0,0,0,0
AL****12,2024-05-01 11:39:00,214,1,100382,0,0,0,1,0,0,0,0,0
AN********64,2024-07-16 23:35:00,138,1,303316,0,0,0,0,0,0,0,1,2
AN*******SO,2024-08-14 20:33:00,109,1,252750,0,0,0,0,0,1,0,0,3
AR***********SI,2024-10-03 13:43:00,59,1,404400,0,0,1,0,0,0,0,0,2
Aa******re,2024-07-06 05:55:00,149,1,1517209,1,0,0,0,0,0,0,0,1
Ab*********if,2024-09-21 20:06:00,71,1,100118,0,0,0,0,1,0,0,0,2
Ab******14,2024-08-05 22:34:00,118,1,100089,0,0,0,1,0,0,0,0,0
Ab*****68,2024-11-05 11:31:00,26,1,100089,0,0,0,1,0,0,0,0,0
Ab****s1,2024-11-13 13:37:00,18,1,100089,0,0,0,1,0,0,0,0,0
Ac***************wa,2024-10-07 07:00:00,56,3,475285,1,0,0,0,0,0,0,0,1
Ad*********86,2024-11-27 17:28:00,4,7,701533,0,0,0,1,0,0,0,0,0
Ad*******am,2024-11-17 18:55:00,14,1,505500,0,0,0,0,0,0,0,1,2
Ad*******je,2023-11-25 14:38:00,372,1,506052,1,0,0,0,0,0,0,0,1
Ad*******ko,2024-11-29 19:37:00,2,2,201267,0,0,0,1,0,0,0,0,0
Ad*****ka,2024-11-29 19:42:00,2,1,202200,0,0,0,1,0,0,0,0,0
Ad****27,2024-08-05 20:17:00,118,1,201248,0,0,0,1,0,0,0,0,0
Ad****da,2024-09-16 14:42:00,76,1,151650,1,0,0,0,0,0,0,0,1
Ad****tt,2024-09-14 07:58:00,78,1,101145,0,0,0,0,0,0,0,1,2
Af**********do,2024-08-21 11:01:00,102,2,200272,0,0,0,1,0,0,0,0,0
Af******17,2024-10-23 13:10:00,39,3,300319,0,0,0,1,0,0,0,0,0
Af******di,2024-10-28 21:03:00,34,1,353935,0,0,0,0,0,0,1,0,2
Ag*********78,2024-08-28 23:03:00,95,3,300339,0,0,0,1,0,0,0,0,0
Ag********15,2024-07-25 09:13:00,129,1,151650,0,0,0,1,0,0,0,0,0
Ag*******or,2024-11-17 17:48:00,14,1,100089,0,0,0,1,0,0,0,0,0
Ag*****95,2024-09-18 07:00:00,75,1,101119,0,0,0,1,0,0,0,0,0
Ah**********in,2024-11-29 17:47:00,2,1,100107,0,0,0,1,0,0,0,0,0
Ah*********97,2024-11-29 17:47:00,2,1,100089,0,0,0,1,0,0,0,0,0
Ah********38,2024-08-13 20:55:00,110,1,100160,0,0,0,1,0,0,0,0,0
Ah*******ah,2024-11-29 17:43:00,2,1,101108,0,0,0,1,0,0,0,0,0
Ah****81,2024-06-27 20:54:00,157,1,100229,0,0,0,1,0,0,0,0,0
Ak******an,2024-11-28 14:51:00,3,3,1516564,0,0,0,0,0,0,0,1,2
Ak****o1,2024-06-22 02:31:00,163,1,303723,0,0,0,1,0,0,0,0,0
Al***********_5,2024-06-26 08:48:00,158,1,100984,0,0,0,1,0,0,0,0,0
Al*********34,2024-06-16 08:16:00,168,1,100976,0,0,0,1,0,0,0,0,0
Al*********di,2024-09-06 16:03:00,86,4,909900,1,0,0,0,0,0,0,0,1
Al*******09,2024-02-21 13:45:00,284,1,304212,0,0,0,1,0,0,0,0,0
Al*******ak,2024-09-16 12:23:00,76,1,202274,0,0,0,0,0,0,1,0,2
Al******00,2024-10-07 08:29:00,55,1,100162,0,0,0,1,0,0,0,0,0
Al******18,2024-10-25 13:37:00,37,2,404400,0,0,0,1,0,0,0,0,0
Al*****10,2024-06-20 10:49:00,164,2,353890,1,0,0,1,0,0,0,0,0
Al*****22,2024-08-14 21:59:00,109,1,100089,0,0,0,1,0,0,0,0,0
Al*****ka,2024-08-18 12:53:00,105,2,202200,1,0,0,0,0,0,0,0,1
Al*****ry,2024-08-20 07:00:00,104,3,2224242,0,0,0,1,0,0,0,0,0
Al****20,2024-11-28 11:31:00,3,3,300337,0,0,0,1,0,0,0,0,0
Al****34,2024-06-06 14:11:00,178,1,100498,0,0,0,1,0,0,0,0,0
Al****93,2024-11-10 11:16:00,21,1,101100,1,0,0,0,0,0,0,0,1
Al****ma,2024-09-19 12:38:00,73,1,100089,0,0,0,1,0,0,0,0,0
An**************di,2024-09-11 09:49:00,81,1,252750,0,0,1,0,0,0,0,0,2
An***********4n,2024-09-24 20:52:00,68,1,504489,0,0,0,0,0,0,1,0,2
An*******10,2024-10-10 06:58:00,53,1,303300,1,0,0,0,0,0,0,0,1
An*******99,2024-06-29 11:50:00,155,1,100805,0,0,0,0,1,0,0,0,2
An******08,2024-09-15 12:46:00,77,6,673206,0,0,0,1,0,0,0,0,0
An******24,2024-11-18 07:00:00,14,8,2453944,0,0,0,1,0,0,0,0,0
