client_user_id,paid_at,Recency,Frequency,Monetary
08*****88,2024-10-15 10:20:00,47,1,101191
09********24,2024-09-09 10:59:00,83,1,303384
1.******gp,2024-10-28 17:46:00,34,1,5000
10****05,2024-10-09 10:05:00,53,1,5042221
14****63,2023-11-16 11:33:00,381,2,577618
1n********ti,2024-10-03 14:33:00,59,1,1516500
20****01,2024-09-05 15:52:00,87,2,204182
21**********90,2024-04-11 10:56:00,234,2,682082
21******38,2023-11-25 18:06:00,372,1,25951
21***01,2024-10-09 06:40:00,53,1,758287
23******94,2023-11-29 07:59:00,368,1,203030
25**********87,2024-10-09 13:22:00,53,3,404400
29*********06,2024-09-24 18:59:00,68,1,2665823
2D********aa,2024-06-22 06:22:00,162,2,203337
2d****..,2024-10-25 20:35:00,37,2,200073
30************ia,2024-10-21 20:29:00,41,1,151685
36******es,2023-10-11 13:41:00,417,1,2577295
47******rz,2024-09-19 11:51:00,73,2,5231270
6u******55,2024-01-31 22:09:00,305,1,354148
85****84,2024-10-17 13:02:00,45,1,2665750
AB********EW,2024-09-10 15:00:00,82,4,1923867
AK******AL,2024-10-28 17:43:00,34,1,5000
AL****12,2024-05-01 11:39:00,214,1,100382
AN********64,2024-07-16 23:35:00,138,1,303316
AN*******SO,2024-08-14 20:33:00,109,1,252750
AP*********ER,2024-07-16 21:53:00,138,1,7066981
AR***********SI,2024-10-03 13:43:00,59,1,404400
AR******25,2024-10-28 17:44:00,34,1,5000
AS***********is,2024-10-28 17:38:00,34,1,10000
Aa******re,2024-07-06 05:55:00,148,1,1517209
Ab*********if,2024-09-21 20:06:00,71,1,100118
Ab********ra,2024-10-04 16:04:00,58,3,16902783
Ab******14,2024-08-05 22:34:00,118,1,100089
Ab******fy,2024-10-28 17:47:00,34,1,4000
Ab******la,2024-05-03 20:38:00,212,1,2772513
Ab*****68,2024-11-05 11:31:00,26,1,100089
Ab****s1,2024-11-13 13:37:00,18,1,100089
Ac***************wa,2024-10-07 07:00:00,55,3,475285
Ad*********86,2024-11-27 17:28:00,4,7,701533
Ad*******am,2024-11-17 18:55:00,14,1,505500
Ad*******je,2023-11-25 14:38:00,372,1,506052
Ad*******ko,2024-11-29 19:37:00,2,2,201267
Ad*****ka,2024-11-29 19:42:00,2,1,202200
Ad****27,2024-08-05 20:17:00,118,1,201248
Ad****da,2024-09-16 14:42:00,76,1,151650
Ad****tt,2024-09-14 07:58:00,78,1,101145
Af**********do,2024-08-21 11:01:00,102,2,200272
Af******17,2024-10-23 13:10:00,39,3,300319
Af******di,2024-10-28 21:03:00,34,1,353935
Af****du,2024-11-29 14:54:00,2,1,3732064
Ag*********78,2024-08-28 23:03:00,95,3,300339
Ag********15,2024-07-25 09:13:00,129,1,151650
Ag*******or,2024-11-17 17:48:00,14,1,100089
Ag*****95,2024-09-18 07:00:00,74,1,101119
Ah**********in,2024-11-29 17:47:00,2,1,100107
Ah*********97,2024-11-29 17:47:00,2,1,100089
Ah********38,2024-08-13 20:55:00,110,1,100160
Ah*******ah,2024-11-29 17:43:00,2,1,101108
Ah****43,2024-10-10 21:27:00,52,1,3732050
Ah****81,2024-06-27 20:54:00,157,1,100229
Ai****54,2024-10-28 17:33:00,34,1,19000
Ak*********23,2024-10-28 17:46:00,34,1,5000
Ak******an,2024-11-28 14:51:00,3,3,1516564
Ak******ft,2024-10-28 17:32:00,34,1,25000
Ak****o1,2024-06-22 02:31:00,162,1,303723
Al***********_5,2024-06-26 08:48:00,158,1,100984
Al***********an,2024-10-28 17:32:00,34,1,25000
Al**********gn,2024-10-28 17:30:00,34,1,30000
Al*********34,2024-06-16 08:16:00,168,1,100976
Al*********di,2024-09-06 16:03:00,86,4,909900
Al*******09,2024-02-21 13:45:00,284,1,304212
Al*******ak,2024-09-16 12:23:00,76,1,202274
Al*******on,2024-10-28 17:40:00,34,1,10000
Al******00,2024-10-07 08:29:00,55,1,100162
Al******18,2024-10-25 13:37:00,37,2,404400
Al*****10,2024-06-20 10:49:00,164,2,353890
Al*****22,2024-08-14 21:59:00,109,1,100089
Al*****ka,2024-08-18 12:53:00,105,2,202200
Al*****ry,2024-08-20 07:00:00,103,3,2224242
Al****20,2024-11-28 11:31:00,3,3,300337
Al****34,2024-06-06 14:11:00,178,1,100498
Al****93,2024-11-10 11:16:00,21,1,101100
Al****ma,2024-09-19 12:38:00,73,1,100089
An**************di,2024-09-11 09:49:00,81,1,252750
An**************on,2024-10-28 17:45:00,34,1,5000
An***********4n,2024-09-24 20:52:00,68,1,504489
An**********ni,2024-10-28 17:33:00,34,1,19000
An*******10,2024-10-10 06:58:00,52,1,303300
An*******99,2024-06-29 11:50:00,155,1,100805
An******08,2024-09-15 12:46:00,77,6,673206
An******24,2024-11-18 07:00:00,13,8,2453944
An******34,2024-05-21 21:24:00,194,1,100820
An******72,2024-03-05 08:13:00,271,1,100317
An******ns,2024-09-06 07:00:00,86,1,100151
An******va,2024-07-16 15:27:00,138,1,1516500
An*****36,2024-09-10 07:00:00,82,3,730017
An*****99,2024-06-24 15:11:00,160,3,1365889
An*****zi,2024-11-12 21:56:00,19,1,100000
An****07,2024-05-24 11:01:00,191,1,100999
An****aW,2024-08-22 07:00:00,101,1,100153
An****ay,2024-08-21 21:00:00,102,2,212267
An****en,2024-09-10 17:16:00,82,1,100089
An****ie,2024-08-15 20:12:00,108,1,303300
An****wp,2024-06-10 07:43:00,174,1,100728
Ap********na,2024-10-12 19:38:00,50,1,101154
Ap*******64,2024-03-08 17:51:00,268,1,567329
Ap*****24,2024-09-13 13:27:00,79,1,111288
Ar*************ch,2024-06-14 18:39:00,170,1,2666056
Ar*********23,2024-05-20 17:47:00,195,1,100977
Ar********03,2024-09-14 06:41:00,78,1,100089
Ar********95,2024-11-15 07:00:00,16,1,100152
Ar********ih,2024-09-27 14:39:00,65,3,300413
Ar********n.,2024-10-28 17:40:00,34,1,9000
Ar*******06,2024-11-03 10:53:00,28,1,485280
Ar*******12,2024-08-15 19:24:00,108,2,2122539
Ar*******24,2024-08-03 19:11:00,120,1,101100
Ar*******an,2024-11-20 20:03:00,11,1,100146
Ar*******di,2024-10-16 15:04:00,46,1,505518
Ar*****12,2024-06-18 11:54:00,166,1,100731
Ar*****20,2024-10-28 17:46:00,34,1,5000
Ar*****ng,2024-08-23 16:01:00,100,1,131430
Ar****24,2024-09-09 09:19:00,83,26,3128531
Ar****fd,2024-03-16 10:56:00,260,1,279022
Ar****n.,2024-08-30 23:01:00,93,1,105144
Ar****ng,2024-09-30 11:06:00,62,1,101100
Ar****zl,2024-07-22 20:21:00,132,1,100089
As************25,2024-08-13 17:05:00,110,1,404400
As******89,2024-09-25 12:52:00,67,1,252750
As*****24,2024-05-11 14:17:00,204,1,506443
As****14,2024-09-08 19:51:00,84,1,100089
As****27,2024-11-02 07:00:00,29,11,1417039
As****hd,2024-11-19 09:22:00,12,2,404400
As****ya,2024-09-25 10:35:00,67,1,252823
At*************ya,2024-08-20 10:01:00,103,1,100089
At**********ti,2024-10-12 17:15:00,50,1,100089
At********10,2024-05-14 13:41:00,201,1,100504
At*******04,2024-10-28 17:36:00,34,1,15000
At*****am,2023-12-29 00:02:00,338,1,20413
At*****ka,2024-08-15 14:10:00,108,2,3655900
At****99,2024-07-18 14:28:00,136,1,176934
Au*****ky,2024-09-09 20:22:00,83,1,100089
Av**************ng,2024-08-05 17:32:00,118,3,301245
Av*****aa,2024-11-05 14:54:00,26,4,10664006
Av****aa,2024-09-05 07:00:00,87,2,202242
Ay******22,2024-10-04 01:09:00,58,1,100156
Ay*****uf,2024-07-22 18:49:00,132,2,200286
Ay****34,2024-10-06 16:31:00,56,1,171870
Ay****at,2024-05-15 13:04:00,200,1,101088
Az*********88,2024-05-20 09:51:00,195,1,100285
Az********27,2024-11-15 16:30:00,16,2,606695
Az********94,2024-07-01 11:48:00,153,2,552745
Az****Al,2024-10-26 16:41:00,36,1,100089
BA****66,2024-09-30 18:36:00,62,2,200274
BG*******AS,2024-09-17 17:02:00,75,1,101100
BO******kk,2024-10-23 13:26:00,39,1,5544760
Ba***********28,2024-09-20 10:33:00,72,1,101100
Ba*********97,2024-07-12 18:08:00,142,1,100374
Ba********ta,2023-10-09 13:04:00,419,1,1086807
Ba*******a6,2023-11-22 09:19:00,375,2,9552867
Ba*******ya,2024-03-26 15:55:00,250,1,152242
Ba******ix,2024-10-05 07:00:00,57,1,394293
Ba*****AP,2024-10-31 16:07:00,31,1,100089
Ba*****an,2024-07-23 16:37:00,131,3,1224155
Ba*****di,2024-10-25 05:40:00,37,1,100128
Be************si,2024-08-08 14:18:00,115,1,505500
Be**********24,2024-01-13 21:04:00,323,2,2301525
Be********da,2024-08-25 17:49:00,98,1,104093
Be********na,2024-10-30 05:20:00,32,1,160749
Be*******at,2024-09-19 10:55:00,73,1,3693550
Be*****13,2024-08-14 11:09:00,109,1,111210
Be****86,2024-08-20 11:01:00,103,1,100089
Be****88,2024-11-04 23:08:00,27,1,100089
Bi********ll,2024-05-16 23:13:00,199,3,608422
Bi*******us,2024-09-02 07:00:00,90,1,101197
Bi******bu,2024-08-22 14:38:00,101,1,2665750
Bl********lf,2024-11-12 11:34:00,19,1,100143
Bo**********44,2024-07-01 02:59:00,153,1,100982
Bo**********hh,2024-10-28 17:45:00,34,1,5000
Bo*********87,2024-04-13 14:02:00,232,1,100578
Bo*******24,2024-10-11 17:48:00,51,2,210109
Bo******69,2024-03-10 20:40:00,266,1,100787
Bo*****89,2024-09-29 19:27:00,63,1,283080
Bo*****ah,2024-11-19 17:11:00,12,3,300395
Bo****ii,2024-10-25 21:45:00,37,1,1364882
Br*********23,2024-09-26 18:29:00,66,1,100089
Br*********24,2024-09-16 10:59:00,76,1,100089
Br******en,2024-07-04 19:57:00,150,1,100939
Br*****no,2024-11-08 09:35:00,23,1,303300
Br****al,2024-11-15 13:20:00,16,9,1713800
Br****nd,2024-11-28 11:54:00,3,3,1446741
Bu*********ty,2024-11-23 09:28:00,8,1,100089
Bu********ia,2024-10-07 13:15:00,55,1,101100
Bu********lo,2024-07-04 11:51:00,150,1,100679
Bu*******an,2024-11-14 15:30:00,17,2,321504
Bu*****ri,2024-08-28 13:22:00,95,1,100089
Bu****ki,2024-05-07 16:04:00,208,1,567679
Bu****le,2024-11-05 10:49:00,26,1,1314300
By*****ra,2024-07-03 14:11:00,151,2,253379
CA************TS,2023-12-20 22:58:00,347,3,861163
CA**********ah,2024-11-11 15:39:00,20,5,7713541
CA*****78,2024-10-28 17:28:00,34,1,49000
Ca**********._,2024-11-12 10:24:00,19,7,11343441
Ca********ik,2024-08-15 17:11:00,108,1,100126
Ca*******ag,2024-11-18 16:53:00,13,2,200000
Ca******98,2024-06-03 08:57:00,181,1,152588
Ca*****19,2024-08-12 21:37:00,111,2,1501902
Ca*****an,2024-10-07 18:23:00,55,1,131430
Ca*****na,2024-10-08 14:13:00,54,1,202236
Ce************ne,2024-08-16 18:21:00,107,6,13149779
Ce***********ra,2024-02-22 13:03:00,283,2,6498906
Ce****ss,2024-07-21 20:40:00,133,1,100095
Ch***********do,2024-08-15 19:28:00,108,1,505500
Ch********77,2024-10-23 19:35:00,39,3,1643938
Ch*******25,2024-09-04 10:57:00,88,2,3525100
Ch******10,2024-04-21 22:31:00,224,1,100247
Ch******98,2024-10-23 18:26:00,39,1,101128
Ch******an,2024-04-26 11:16:00,219,1,100474
Ch*****op,2024-09-08 01:06:00,84,1,100089
Ch****aa,2024-06-18 11:39:00,166,1,289814
Ch****un,2024-11-29 09:42:00,2,1,505500
Ci*******as,2024-10-28 17:42:00,34,1,5000
Ci******10,2024-07-02 10:16:00,152,1,4044337
Ci******bu,2024-08-17 20:31:00,106,2,200286
Ci*****11,2024-11-29 19:34:00,2,1,100106
Co*****68,2024-01-08 19:11:00,328,4,457007
Co*****um,2024-10-08 16:21:00,54,1,171870
Cr**********de,2024-07-28 00:46:00,126,2,200251
Cr******ta,2024-10-28 17:31:00,34,1,25000
Cv*******ip,2024-09-11 09:58:00,81,1,101100
Cy******id,2024-08-31 23:00:00,92,1,2887750
Cz****89,2024-04-03 22:05:00,242,1,253526
DA*******AA,2024-10-14 17:56:00,48,1,180000
DD********22,2024-10-28 17:40:00,34,1,10000
DI****73,2024-03-09 11:30:00,267,1,101047
DY****61,2024-08-09 14:14:00,114,1,353901
Da*********to,2024-11-21 08:53:00,10,3,7997343
Da*******an,2024-05-14 15:57:00,201,1,101051
Da*******ya,2024-05-14 15:02:00,201,1,1517088
Da*****88,2024-04-06 15:17:00,239,1,607550
Da****12,2024-04-18 08:42:00,227,1,100722
De***********EL,2024-10-01 05:52:00,61,1,151723
De**********ti,2024-06-20 14:29:00,164,1,100963
De*********95,2024-10-28 17:42:00,34,1,5000
De*********ng,2024-08-30 04:02:00,93,9,901258
De********71,2024-11-01 10:32:00,30,3,302338
De********bu,2024-09-25 17:07:00,67,1,100089
De********er,2024-10-28 17:34:00,34,1,19000
De*******ah,2024-09-26 18:25:00,66,1,232530
De*****85,2024-10-28 17:43:00,34,1,5000
De*****an,2024-11-13 16:23:00,18,1,808859
De****15,2024-09-04 19:25:00,88,1,160749
De****45,2024-05-03 11:01:00,212,1,101005
De****90,2024-08-26 22:18:00,97,1,202200
De****91,2024-10-28 17:46:00,34,1,5000
De****aa,2024-11-29 17:47:00,2,1,100183
De****te,2024-10-21 11:04:00,41,2,303332
Dh******da,2024-10-24 13:24:00,38,1,100089
Dh*****an,2024-09-02 11:12:00,90,1,100186
Di*********ni,2024-04-25 13:21:00,220,1,162577
Di********15,2024-03-30 09:36:00,246,1,303657
Di********am,2024-10-14 16:36:00,48,1,202200
Di*******rt,2024-08-09 18:51:00,114,1,116265
Di*******ya,2024-09-19 13:55:00,73,1,151650
Di******15,2024-01-30 12:47:00,306,1,2577494
Di*****04,2024-10-28 17:36:00,34,1,14000
Di*****97,2024-10-20 10:01:00,42,2,1819800
Di*****wa,2024-11-08 09:36:00,23,1,181980
Di****69,2024-10-03 15:31:00,59,1,505519
Di****cm,2024-10-23 08:18:00,39,1,5331500
Di****ry,2024-07-15 09:43:00,139,1,100089
Di****yn,2024-10-28 17:39:00,34,1,10000
Di****yu,2024-10-14 00:56:00,48,1,1870446
Do******05,2024-08-18 17:57:00,105,2,201273
Du*****id,2024-10-23 19:14:00,39,4,867846
Dw*****09,2024-07-25 21:00:00,129,1,100089
Dw*****na,2024-08-12 07:00:00,111,1,353886
Dz****er,2024-09-26 12:10:00,66,1,101170
ER****08,2024-10-09 21:53:00,53,1,100089
Ea*****20,2024-09-25 23:58:00,67,1,126413
Ec******ns,2024-11-28 13:50:00,3,2,808095
Ed*******ny,2024-06-03 11:57:00,181,1,289546
Ed******is,2024-10-02 17:48:00,60,1,2665820
Ed****42,2024-06-25 10:52:00,159,1,253130
Ed****as,2024-10-27 21:05:00,35,1,100131
Ef******_R,2024-10-21 07:00:00,41,4,861445
Ef*****id,2024-10-28 17:29:00,34,1,36500
Ek********ti,2024-09-19 12:44:00,73,1,100089
Ek****45,2024-10-28 11:01:00,34,1,100113
El*********gi,2024-10-01 08:55:00,61,2,202273
El********an,2024-11-06 14:05:00,25,11,1668150
El********ia,2024-09-08 07:00:00,84,3,300407
El****ye,2024-08-31 12:36:00,92,1,100089
Em*****iq,2024-03-08 10:31:00,268,1,1517044
En*******12,2024-05-28 09:10:00,187,1,101719
En*****a_,2024-10-22 19:38:00,40,2,1718753
Er********23,2024-09-19 10:43:00,73,1,101153
Er********os,2024-10-28 17:41:00,34,1,5000
Er*******as,2024-05-17 07:50:00,198,1,253745
Er*******ha,2024-10-10 01:21:00,52,2,200178
Er******01,2024-09-09 00:17:00,83,2,200257
Er******ra,2024-07-30 04:11:00,124,1,151680
Er*****30,2024-10-23 10:38:00,39,6,980044
Er*****vi,2024-02-29 21:12:00,276,1,100556
Es****************na,2024-11-25 11:56:00,6,2,202203
Es*******uf,2024-09-13 18:10:00,79,5,500445
Es****92,2024-11-21 19:58:00,10,1,2776750
Es****di,2024-07-02 18:27:00,152,1,137359
Et****05,2024-09-18 12:16:00,74,2,200187
Ev*********ri,2024-10-28 17:44:00,34,1,5000
Ev******td,2024-10-28 17:46:00,34,1,5000
Ev*****96,2024-05-29 16:06:00,186,1,809382
Ev*****ar,2024-05-16 14:43:00,199,1,100307
Ex****ii,2024-07-19 08:56:00,135,2,200235
F4****Te,2024-10-09 09:13:00,53,1,3732075
FA*********ri,2024-10-10 19:05:00,52,1,101100
FA*****OD,2024-10-01 12:32:00,61,1,100089
FR*****TD,2024-10-28 17:39:00,34,1,10000
FS****00,2024-10-23 09:35:00,39,1,303300
Fa****************ta,2024-07-01 16:21:00,153,3,464854
Fa**********01,2024-09-17 11:36:00,75,1,101100
Fa*********24,2024-09-11 10:58:00,81,1,262860
Fa*********is,2024-09-06 19:58:00,86,1,100089
Fa********..,2024-09-22 12:21:00,70,1,151650
Fa*******24,2024-07-25 13:35:00,129,3,300360
Fa*******an,2024-11-14 15:21:00,17,1,151718
Fa******ja,2024-11-09 10:08:00,22,1,100089
Fa******ma,2024-09-03 07:00:00,89,1,100148
Fa*****65,2024-10-28 17:43:00,34,1,5000
Fa*****er,2024-04-16 08:52:00,229,1,100987
Fa****44,2024-10-28 17:39:00,34,1,10000
Fa****67,2024-10-09 00:59:00,53,2,303387
Fa****ng,2024-06-08 13:01:00,176,1,100346
Fa****uz,2024-04-26 17:05:00,219,1,567371
Fe**********an,2024-07-18 17:59:00,136,1,101100
Fe********18,2024-10-28 17:29:00,34,1,39000
Fe********si,2024-05-20 15:08:00,195,1,404917
Fe*******02,2024-07-19 20:56:00,135,2,556167
Fe******07,2024-07-22 10:41:00,132,1,101100
Fe******ix,2024-11-18 17:26:00,13,1,1011000
Fe*****15,2024-10-10 02:24:00,52,1,151737
Fe*****21,2024-06-09 09:28:00,175,1,131920
Fe*****23,2024-09-03 08:18:00,89,1,151650
Fi***********no,2024-08-02 12:40:00,121,1,1516500
Fi********13,2024-10-06 14:35:00,56,1,100106
Fi********ra,2024-10-17 07:00:00,45,5,505664
Fi********ti,2024-08-01 16:37:00,122,1,100091
Fi********ty,2024-10-24 11:39:00,38,1,100089
Fi*******08,2024-01-18 13:48:00,318,1,101687
Fi*******ni,2024-10-28 17:36:00,34,1,15000
Fi****ra,2024-10-28 19:56:00,34,1,758263
Fi****yb,2024-10-13 22:06:00,49,1,101100
Fr*******24,2024-10-16 15:53:00,46,1,5331500
Fr*******en,2024-08-20 07:00:00,103,2,1011081
Fr******go,2024-10-28 17:35:00,34,1,15000
Fr*****15,2024-10-23 13:48:00,39,2,200204
Fr*****th,2024-11-21 16:34:00,10,2,4265200
Fr****dy,2024-07-31 13:52:00,123,1,101180
Fr****us,2024-11-29 14:01:00,2,2,1011141
Fu****qq,2024-06-10 11:05:00,174,1,253526
Fx****05,2024-10-07 22:00:00,55,1,505571
GM******ID,2024-02-10 10:57:00,295,1,522313
Ga*************ng,2024-05-18 12:20:00,197,1,101025
Ga***********ni,2024-08-25 22:34:00,98,1,100089
Ga**********yu,2023-11-14 14:59:00,383,1,686429
Ga****27,2024-10-28 17:43:00,34,1,5000
Ga****gg,2024-11-17 22:14:00,14,1,100095
Ga****il,2024-04-17 08:29:00,228,1,3539270
Ge******23,2024-03-02 21:38:00,274,1,303835
Ge******6.,2024-03-31 07:30:00,245,1,100507
Ge*****67,2024-06-12 15:01:00,172,1,859511
Ge*****ra,2024-06-27 23:35:00,157,1,100448
Ge****74,2024-10-28 17:43:00,34,1,5000
Ge****87,2024-10-05 07:00:00,57,1,160773
Gi*******ka,2024-08-28 08:26:00,95,1,100089
Gi****oo,2024-10-09 16:21:00,53,1,1011005
Gl*********ow,2024-07-06 10:25:00,148,2,201090
Go**********nt,2024-07-13 16:45:00,141,2,7968589
